"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=00fvvvvvvvvvo&endsec=g&freq=A&start=2014&end=2024&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Mon Jul 28 2025 17:08:14 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"All sectors : Colorado","cents per kilowatthour","ELEC.PRICE.CO-ALL.A",10.06,9.94,9.83,9.99,10.02,10.17,10.27,10.90,11.75,11.76,12.22
"All sectors : Idaho","cents per kilowatthour","ELEC.PRICE.ID-ALL.A",7.93,8.09,8.08,8.26,8.17,7.89,7.99,8.17,8.51,9.08,9.52
"All sectors : Montana","cents per kilowatthour","ELEC.PRICE.MT-ALL.A",8.59,8.90,8.84,8.92,8.84,9.02,9.13,9.50,9.97,10.97,10.84
"All sectors : Nevada","cents per kilowatthour","ELEC.PRICE.NV-ALL.A",9.73,9.48,8.38,8.76,8.67,8.78,8.33,8.58,10.94,13.09,11.47
"All sectors : New Mexico","cents per kilowatthour","ELEC.PRICE.NM-ALL.A",9.65,9.62,9.12,9.59,9.35,8.99,9.33,9.79,10.02,9.47,9.30
"All sectors : Utah","cents per kilowatthour","ELEC.PRICE.UT-ALL.A",8.35,8.54,8.72,8.60,8.21,8.24,8.27,8.34,8.80,9.03,9.03
"All sectors : Wyoming","cents per kilowatthour","ELEC.PRICE.WY-ALL.A",7.76,7.97,8.19,8.28,8.09,8.10,8.27,8.25,8.24,8.39,9.15
"All sectors : Pacific Contiguous",,"ELEC.PRICE.PCC-ALL.A",,,,,,,,,,,
"All sectors : California","cents per kilowatthour","ELEC.PRICE.CA-ALL.A",15.15,15.42,15.23,16.06,16.58,16.89,18.00,19.65,22.33,24.87,27.00
"All sectors : Oregon","cents per kilowatthour","ELEC.PRICE.OR-ALL.A",8.68,8.75,8.83,8.81,8.85,8.81,8.82,8.95,9.26,10.32,11.36
"All sectors : Washington","cents per kilowatthour","ELEC.PRICE.WA-ALL.A",7.13,7.40,7.68,7.94,8.00,8.04,8.33,8.75,9.05,9.58,10.16
"All sectors : Pacific Noncontiguous",,"ELEC.PRICE.PCN-ALL.A",,,,,,,,,,,
"All sectors : Alaska","cents per kilowatthour","ELEC.PRICE.AK-ALL.A",17.46,17.59,17.93,19.10,19.36,20.22,19.82,20.02,20.73,21.41,22.06
"All sectors : Hawaii","cents per kilowatthour","ELEC.PRICE.HI-ALL.A",33.43,26.17,23.87,26.05,29.18,28.72,27.55,30.31,39.72,38.60,38.17
